,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Львівська область,Львівський район,Сокільницька,сільська територіальна громада,UA46060410000052681,,8.415,8.448,32.9,122447.6593,144292.4561,17.8%,30370.72321,35254.4904,20-50,16.1%,19.63735555,22.70210348,24.36,28.24,20-40,15.9%,2.040523062,12389.4,0,6368.067638,2.241419666,16397.8,0,4938.870065,5792.062399,1159.3,836.3,більше 200,-27.9%,545.237452,607.9776414,41.82,36.73,25-50,-12.2%,1767.260567,2414.560489,547.5,803.17,більше 500,46.7%,9.86,14.53,14.0%,14.1%,10-20,0.9%
Луганська область,Сєвєродонецький район,Попаснянська,міська територіальна громада,UA44120070000073915,,25.485,25.18,468.6,141862.1001,124828.9165,-12.0%,29176.33,26692.48667,20-50,-8.5%,21.23799842,22.12751026,25.31,23.90,20-40,-5.6%,1.0608787,0,0,3310.791943,0.877406247,0,1823.3,68.4269925,75.74817586,20.0,17.7,менше 25,-11.9%,725.2261892,600.6661046,133.90,111.53,100-200,-16.7%,281.5630304,306.6243638,92.3,87.08,менше 100,-5.6%,12.79,12.53,14.8%,14.2%,10-20,-4.4%
Одеська область,Подільський район,Окнянська,селищна територіальна громада,UA51120150000080138,,19.606,19.43,1012.5,168830.1923,123239.077,-27.0%,21090.671,37853.08215,20-50,79.5%,33.84906423,51.93136585,55.78,53.52,більше 40,-4.1%,0.727023343,0,8467.1,2268.895612,0.600990173,0,15773.5,39.59064572,41.44731907,7.4,6.4,менше 25,-13.4%,1891.697017,2193.073854,14.70,15.50,менше 25,5.4%,990.9457773,1054.13884,225.8,186.04,100-200,-17.6%,14.05,18.81,23.1%,14.2%,10-20,-38.4%
Запорізька область,Пологівський район,Пологівська,міська територіальна громада,UA23100190000020018,,29.878,29.472,804.9,288931.628,252195.2422,-12.7%,54675.72453,52302.96963,50-100,-4.3%,22.56846746,26.12782333,29.1,27.31,20-40,-6.2%,1.317147468,10915,0,4110.555925,1.315408405,11476.4,0,345.8075404,369.958501,80.9,51.6,50-100,-36.2%,1157.495999,1077.711283,104.46,91.88,50-100,-12.0%,768.81404,863.2357972,223.9,239.21,200-500,6.8%,16.03,15.05,14.9%,14.2%,10-20,-4.7%
Київська область,Фастівський район,Гатненська,сільська територіальна громада,UA32140050000046018,,8.788,9.417,36.6,111501.2737,153160.0725,37.4%,31137.02296,34654.79085,20-50,11.3%,27.13327338,26.47018083,29.72,29.10,20-40,-2.1%,0.5933555,0,6944.6,1851.744794,0.61256471,0,7646.6,6171.106595,6355.063661,1338.0,988.0,більше 200,-26.2%,974.3021199,989.902092,66.21,58.29,50-100,-12.0%,1948.378676,2544.804271,620.4,806.39,більше 500,30.0%,18.60,15.81,17.9%,14.2%,10-20,-20.4%
Дніпропетровська область,Кам'янський район,Жовтоводська,міська територіальна громада,UA12040110000091524,,45.087,44.376,79.1,269423.4932,205089.7688,-23.9%,47879.19473,50221.72852,50-100,4.9%,17.22651952,23.85718881,23.28,23.07,20-40,-0.9%,0.850335297,0,5648.6,2653.727754,0.872303931,0,3371.3,230.6660854,285.7277095,64.0,62.2,50-100,-2.8%,414.900992,320.1846868,15.59,16.56,менше 25,6.2%,548.3066269,719.8923567,168.9,194.88,100-200,15.4%,12.17,16.00,18.5%,14.3%,10-20,-22.8%
Івано-Франківська область,Івано-Франківський район,Богородчанська,селищна територіальна громада,UA26040030000091528,,28.452,28.358,255.8,107061.0077,137532.208,28.5%,29013.1504,50057.87714,50-100,72.5%,32.4341049,27.66405467,29.48,22.58,20-40,-23.4%,0.662416286,0,16906.3,2067.269806,0.695441179,0,15764.9,220.7869606,244.0364855,50.6,52.3,50-100,3.5%,725.3329798,745.7806408,126.04,164.57,100-200,30.6%,430.8800186,513.3608626,123.7,180.85,100-200,46.3%,20.33,19.73,18.9%,14.3%,10-20,-24.1%
Львівська область,Дрогобицький район,Трускавецька,міська територіальна громада,UA46020090000057315,,39.642,39.375,207.9,253429.1075,225265.518,-11.1%,45864.09583,59647.8994,50-100,30.1%,28.32057517,43.37321953,41.41,40.18,більше 40,-3.0%,0.843221319,0,5674.9,2631.526441,0.612627986,0,30837.8,306.5387485,356.4662652,73.1,74.1,50-100,1.3%,720.1255419,1009.67104,87.26,88.95,50-100,1.9%,629.149122,753.3107624,177.8,236.29,200-500,32.9%,17.19,16.64,18.4%,14.3%,10-20,-22.1%
Одеська область,Одеський район,Таїровська,селищна територіальна громада,UA51100290000027993,,14.065,14.479,39.1,190450.7273,230788.2157,21.2%,48664.11738,50943.18684,50-100,4.7%,41.4232465,47.61866743,47.42,49.16,більше 40,3.7%,1.199189686,2254.6,0,3742.433089,1.161267774,1569.1,0,2376.374856,2691.916353,621.8,557.8,більше 200,-10.3%,2538.792363,3341.629274,518.58,478.53,більше 200,-7.7%,2180.908318,2666.096617,614.5,753.04,більше 500,22.5%,19.88,17.66,14.1%,14.4%,10-20,2.0%
Миколаївська область,Первомайський район,Первомайська,міська територіальна громада,UA48080130000028458,,71.16,70.327,282,424751.685,304056.2124,-28.4%,66572.70231,80997.17502,50-100,21.7%,17.01188187,26.32375355,26.16,23.77,20-40,-9.2%,0.68246903,0,38860.2,2129.850441,0.693447378,0,39642.3,357.1964057,363.9095857,81.0,63.5,50-100,-21.5%,314.7543582,323.2839016,18.48,20.85,менше 25,12.9%,583.9399497,670.5608568,161.6,183.89,100-200,13.8%,12.33,15.81,19.1%,14.4%,10-20,-24.9%
Черкаська область,Золотоніський район,Чорнобаївська,селищна територіальна громада,UA71040190000080571,,20.598,20.269,639.9,128745.6233,147633.364,14.7%,31070.90949,39827.67278,20-50,28.2%,40.80929657,40.38288211,46.59,51.87,більше 40,11.3%,1.072820862,0,0,3348.061063,1.003802492,0,0,203.6265162,222.3378563,45.6,37.7,25-50,-17.2%,1207.698122,1399.988692,9.33,10.79,менше 25,15.7%,1281.026587,1447.397638,381.8,415.30,200-500,8.8%,15.78,14.49,15.6%,14.4%,10-20,-7.8%
Херсонська область,Каховський район,Новокаховська,міська територіальна громада,UA65060170000032937,,60.249,59.749,241,501356.9112,428452.6612,-14.5%,87046.72564,79105.93685,50-100,-9.1%,17.28314449,22.69823161,24.97,26.63,20-40,6.6%,0.994120168,0,0,3102.451809,1.076995035,0,0,839.1996894,874.4340493,187.8,112.3,100-200,-40.2%,557.3604379,583.183367,41.01,37.74,25-50,-8.0%,802.6939266,916.1844798,209.0,237.95,200-500,13.8%,11.96,13.28,15.4%,14.4%,10-20,-6.5%
Львівська область,Золочівський район,Поморянська,селищна територіальна громада,UA46040130000035029,,7.546,7.469,207.4,16614.00492,18279.36919,10.0%,3569.43203,8055.4403,5-20,125.7%,38.81328892,45.99141558,47.03,69.17,більше 40,47.1%,0.295610049,0,11397.1,922.5403151,0.307184625,0,12025.8,7.837150801,9.151150348,2.0,2.0,менше 25,-0.8%,452.8939269,651.6229856,5.95,6.00,менше 25,0.8%,326.603065,393.6134042,108.0,116.93,100-200,8.3%,44.16,30.11,17.6%,14.4%,10-20,-18.1%
Дніпропетровська область,Синельниківський район,Миколаївська,сільська територіальна громада,UA12140170000037152,,9.97,9.764,459.5,107720.3741,77355.24136,-28.2%,15853.62161,29047.57144,20-50,83.2%,17.96306403,28.0126676,25.14,16.31,10-20,-35.1%,1.674299815,9384.4,0,5225.157542,1.630413851,9208.6,0,225.4963083,220.2086266,54.3,46.4,25-50,-14.5%,786.2655796,887.8682563,18.57,23.58,менше 25,27.0%,771.7581971,810.0200479,158.8,180.10,100-200,13.4%,16.50,19.92,21.4%,14.5%,10-20,-32.5%
Львівська область,Львівський район,Пустомитівська,міська територіальна громада,UA46060370000065608,,15.172,15.204,95.7,103946.9569,135392.0697,30.3%,31024.4394,37120.82419,20-50,19.7%,30.45857595,31.4217971,31.54,29.06,20-40,-7.9%,1.339875563,5693.9,0,4181.485801,1.372739298,7054.2,0,240.5923797,309.3942837,66.4,47.6,25-50,-28.3%,851.8600618,1160.341742,131.47,123.91,100-200,-5.8%,1117.999164,1452.884421,363.4,446.77,200-500,22.9%,11.35,14.24,11.8%,14.5%,10-20,22.9%
Одеська область,Білгород-Дністровський район,Білгород-Дністровська,міська територіальна громада,UA51040010000016896,,48.674,48.197,19.6,360221.9948,283691.8565,-21.2%,61785.76801,73627.54302,50-100,19.2%,20.68401893,31.0831456,31.06,26.68,20-40,-14.1%,0.930888733,0,0,2905.119047,0.872875385,0,3589.3,260.7473687,286.6975652,68.0,51.1,50-100,-24.9%,503.728017,638.1424474,93.88,56.60,50-100,-39.7%,823.4548959,987.3572149,211.7,249.81,200-500,18.0%,12.92,15.66,17.3%,14.5%,10-20,-16.5%
Запорізька область,Мелітопольський район,Мелітопольська,міська територіальна громада,UA23080070000068953,,151.948,150.768,49.7,969519.318,787573.2403,-18.8%,172876.159,185553.829,більше 100,7.3%,18.79123217,27.45615423,27.4,26.50,20-40,-3.3%,0.765098443,0,52148.6,2387.720444,0.76094006,0,57928.8,441.5979934,499.0175609,106.7,71.7,50-100,-32.8%,342.6209063,361.9060743,23.26,16.88,менше 25,-27.4%,679.2860733,850.4013368,202.5,236.68,200-500,16.9%,12.24,13.78,15.3%,14.5%,10-20,-5.5%
Львівська область,Червоноградський район,Великомостівська,міська територіальна громада,UA46120030000069375,,16.084,16.055,314.5,96134.74062,61840.99229,-35.7%,13449.62415,19205.57964,5-20,42.8%,9.023617606,18.93976671,18.82,15.95,10-20,-15.3%,0.723482487,0,7093.5,2257.845303,0.712170805,0,8190.4,103.8107138,110.545603,23.2,22.2,менше 25,-4.1%,189.6001069,281.4784014,17.36,20.05,менше 25,15.5%,294.8827939,381.8289894,80.1,122.95,100-200,53.4%,13.36,18.25,18.7%,14.5%,10-20,-22.6%
Херсонська область,Бериславський район,Великоолександрівська,селищна територіальна громада,UA65020050000086746,,16.456,16.239,865.4,85111.65688,83755.48983,-1.6%,15362.23842,21478.43166,20-50,39.8%,38.60367678,45.09012024,45.43,36.65,20-40,-19.3%,0.619209618,0,11552.3,1932.430366,0.620100605,0,12353.2,183.860886,190.4430292,40.8,27.8,25-50,-31.8%,985.6632375,1199.709817,11.34,7.89,менше 25,-30.4%,982.7348371,1077.469973,267.1,267.96,200-500,0.3%,23.54,17.32,24.6%,14.5%,10-20,-41.1%
Тернопільська область,Чортківський район,Чортківська,міська територіальна громада,UA61060430000094264,,37.05,36.632,151.7,226220.2389,187476.6763,-17.1%,41972.13179,47745.7342,20-50,13.8%,14.32829214,20.31206764,23.23,20.36,20-40,-12.4%,0.927578908,0,0,2894.789739,0.87268602,0,2719.2,344.8305222,425.328738,88.6,84.0,50-100,-5.2%,266.217941,291.5363302,54.34,25.18,25-50,-53.7%,488.4998774,617.9187331,153.5,186.58,100-200,21.5%,12.54,13.63,15.8%,14.5%,10-20,-8.0%
Одеська область,Болградський район,Арцизька,міська територіальна громада,UA51060010000033212,,31.9,31.502,762.5,146624.044,147043.8749,0.3%,30649.97829,34137.92898,20-50,11.4%,41.49715492,44.94319852,46.09,40.48,більше 40,-12.2%,0.578264346,0,25680.2,1804.648295,0.533319162,0,31404.5,127.3343472,156.1292697,31.5,29.7,25-50,-5.9%,960.0185784,1037.079682,147.81,133.29,100-200,-9.8%,896.1960582,988.0601784,216.5,237.44,200-500,9.7%,19.88,15.02,18.8%,14.5%,10-20,-22.6%
Львівська область,Львівський район,Солонківська,сільська територіальна громада,UA46060430000091455,,13.341,13.391,174.4,164345.6283,140695.7489,-14.4%,30749.05854,37225.72173,20-50,21.1%,22.36012888,30.26758977,30.83,32.74,20-40,6.2%,1.253852917,3217.7,0,3913.026188,1.274400386,3977.2,0,1829.789275,2365.138603,447.2,352.7,більше 200,-21.1%,491.2799709,430.2831308,64.73,47.75,25-50,-26.2%,1955.960796,2405.568861,567.6,776.91,більше 500,36.9%,19.70,14.95,15.1%,14.6%,10-20,-3.7%
Дніпропетровська область,Нікопольський район,Покровська,сільська територіальна громада,UA12080110000055958,,10.484,10.316,538.8,99532.81747,110808.6726,11.3%,25895.93061,29624.42821,20-50,14.4%,76.24010751,74.75093591,77.85,74.02,більше 40,-4.9%,0.341674018,0,14660.1,1066.296823,0.464918089,0,12223.7,42.28477037,42.08789453,13.5,18.1,менше 25,33.8%,6674.603706,7327.845769,64.69,73.87,50-100,14.2%,514.3041732,568.6602386,117.9,171.08,100-200,45.1%,9.99,14.93,14.8%,14.6%,10-20,-1.2%
Харківська область,Лозівський район,Лозівська,міська територіальна громада,UA63100050000079487,,90.606,89.472,1424.7,578261.7711,497688.4231,-13.9%,101517.8417,103910.4859,більше 100,2.4%,27.48996045,34.79604794,36.89,32.12,20-40,-12.9%,0.738820971,0,37219.4,2305.71367,0.77676474,0,30512.9,202.9273854,228.0362316,51.9,40.2,25-50,-22.5%,932.6724492,975.9381614,155.28,89.27,50-100,-42.5%,618.6669528,695.0066817,153.3,187.88,100-200,22.6%,14.72,14.59,16.9%,14.7%,10-20,-13.1%
Львівська область,Стрийський район,Миколаївська,міська територіальна громада,UA46100110000018989,,33.517,33.307,304.6,152622.7752,161235.5188,5.6%,34411.02738,45641.95369,20-50,32.6%,29.53561571,31.61085686,31.47,30.64,20-40,-2.6%,0.592151498,0,25806.9,1847.987343,0.579120453,0,29008.1,93.48602913,132.7224493,26.2,23.7,менше 25,-9.7%,497.2605051,512.5475486,23.60,20.76,менше 25,-12.0%,742.5851154,902.8409473,207.1,263.15,200-500,27.1%,12.80,14.69,16.6%,14.7%,10-20,-11.2%
Донецька область,Волноваський район,Волноваська,міська територіальна громада,UA14040030000025138,,36.588,36.134,538.4,278635.9541,254695.3613,-8.6%,59367.69767,59597.18856,50-100,0.4%,22.88449322,27.15375121,27.04,29.83,20-40,10.3%,0.555742191,0,70426.5,1734.361118,0.597574756,0,58593.2,159.9193344,205.9791454,91.3,59.8,50-100,-34.5%,433.987911,535.1831184,163.78,238.54,більше 200,45.7%,302.9302618,378.6575887,195.1,197.11,100-200,1.0%,9.27,12.72,13.0%,14.8%,10-20,13.6%
Полтавська область,Полтавський район,Карлівська,міська територіальна громада,UA53080110000062015,,20.674,20.492,331.2,123393.8626,163152.2832,32.2%,31809.31412,39207.85529,20-50,23.3%,36.14974953,28.37934256,36.36,25.30,20-40,-30.4%,0.985274512,0,0,3074.846275,0.941078276,0,0,398.6862977,452.4967503,97.2,84.9,50-100,-12.6%,1093.018554,1051.901499,63.80,48.79,25-50,-23.5%,917.0390085,1038.809992,268.5,274.39,200-500,2.2%,13.87,12.50,15.4%,14.8%,10-20,-4.3%
Івано-Франківська область,Івано-Франківський район,Ямницька,сільська територіальна громада,UA26040390000023006,,9.353,9.273,128,125786.2207,148481.1074,18.0%,32105.5067,31110.55512,20-50,-3.1%,15.76954598,16.20562018,18.27,16.48,10-20,-9.8%,2.638641977,22472.4,0,8234.678103,2.895446983,28250.9,0,501.0178974,730.911108,128.0,97.0,50-100,-24.2%,1293.9203,1641.308918,229.46,165.71,100-200,-27.8%,517.4549808,619.4020403,196.5,138.59,100-200,-29.5%,13.36,11.01,11.3%,14.8%,10-20,30.6%
Вінницька область,Хмільницький район,Калинівська,міська територіальна громада,UA05120070000075759,,45.789,45.257,844.1,335753.7946,292286.0636,-12.9%,62576.0503,79729.19443,50-100,27.4%,23.37535667,29.54497392,29.76,24.45,20-40,-17.9%,1.046580016,0,0,3266.168589,1.053388622,0,0,277.6088467,381.1154949,67.7,59.5,50-100,-12.2%,847.3708886,878.5756195,98.61,62.94,50-100,-36.2%,773.9705664,904.1576391,204.5,252.37,200-500,23.4%,14.65,14.66,16.8%,14.8%,10-20,-12.0%
Полтавська область,Полтавський район,Мачухівська,сільська територіальна громада,UA53080230000047239,,7.965,7.967,247.4,64482.77837,65132.26243,1.0%,10819.01436,28712.84565,20-50,165.4%,21.45696068,21.84730026,23.58,13.42,10-20,-43.1%,0.659455999,0,4821.2,2058.031335,0.677843153,0,4839.4,338.1227753,422.5760899,78.0,50.9,50-100,-34.8%,755.1936497,683.935563,10.80,8.48,менше 25,-21.4%,912.8017003,1011.155197,209.7,306.94,200-500,46.4%,24.34,24.55,33.5%,14.8%,10-20,-55.7%
Луганська область,Сєвєродонецький район,Лисичанська,міська територіальна громада,UA44120050000066819,,115.273,113.782,407.6,632285.9536,474213.9901,-25.0%,94807.23683,153523.4807,більше 100,61.9%,14.94781606,18.92451616,22.92,11.88,10-20,-48.2%,0.5611707,0,111572.9,1751.302419,0.602242774,0,104811.1,144.4655751,178.1720044,43.4,28.3,25-50,-34.9%,444.9376717,360.8695976,53.76,28.08,25-50,-47.8%,249.8118553,307.8173355,78.1,91.39,менше 100,17.0%,14.67,20.65,24.5%,14.9%,10-20,-39.2%
Вінницька область,Вінницький район,Якушинецька,сільська територіальна громада,UA05020310000080026,,16.39,16.349,279.1,115363.0315,115471.6448,0.1%,23936.60757,28678.98695,20-50,19.8%,23.53396358,31.24840957,32.45,34.40,20-40,6.0%,0.800146202,0,4117.2,2497.097548,0.764229205,0,6072.1,1132.395866,1428.366921,341.5,316.0,більше 200,-7.5%,388.6415198,517.2457402,35.31,87.40,50-100,147.5%,1051.628933,1234.299306,302.7,378.69,200-500,25.1%,27.00,19.92,19.4%,14.9%,10-20,-23.3%
Дніпропетровська область,Криворізький район,Глеюватська,сільська територіальна громада,UA12060050000031212,,7.785,7.675,343.6,41859.92919,107749.3126,157.4%,22136.89908,30627.18673,20-50,38.4%,26.48540004,38.1709866,32.75,37.78,20-40,15.4%,0.590059146,0,6055.8,1841.457528,1.428199652,4294.7,0,8.013347815,8.518403318,1.9,2.4,менше 25,25.7%,652.3681319,4486.305801,761.17,1179.33,більше 200,54.9%,689.9775965,775.301677,135.9,223.78,200-500,64.7%,26.89,14.31,11.3%,14.9%,10-20,31.6%
Київська область,Бориспільський район,Бориспільська,міська територіальна громада,UA32040010000010116,,80.165,80.765,527.3,831420.3193,829655.4492,-0.2%,183747.8579,213785.9974,більше 100,16.3%,20.44949908,23.76184521,26.22,23.41,20-40,-10.7%,1.404120874,39867.5,0,4381.982669,1.430743758,46615.3,0,1072.474884,1256.865378,263.7,185.0,100-200,-29.8%,727.3128833,708.8602647,56.32,47.14,25-50,-16.3%,1185.118619,1514.338869,382.4,438.79,200-500,14.8%,12.87,14.24,11.8%,14.9%,10-20,26.2%
Чернігівська область,Корюківський район,Корюківська,міська територіальна громада,UA74020010000010449,,21.244,20.915,1172.6,192276.7548,167217.2055,-13.0%,39316.70815,38549.61447,20-50,-2.0%,19.46449621,23.75075931,23.89,20.61,20-40,-13.7%,1.124975868,832.8,0,3510.82649,1.096338932,0,0,395.0779928,490.9461661,96.2,79.4,50-100,-17.5%,1003.46355,915.3159054,60.02,46.50,25-50,-22.5%,635.201382,813.5224604,189.2,194.39,100-200,2.7%,12.71,11.93,12.7%,14.9%,10-20,17.2%
Тернопільська область,Чортківський район,Борщівська,міська територіальна громада,UA61060050000068464,,29.386,29.146,411.4,150932.6195,102649.3513,-32.0%,21910.32341,24194.68409,20-50,10.4%,18.4523471,30.14825834,28.54,31.62,20-40,10.8%,0.462584687,0,32151.6,1443.635033,0.477061305,0,33491.3,286.636762,328.8724024,65.6,48.2,25-50,-26.6%,428.3425594,481.7478744,30.35,28.12,25-50,-7.3%,422.9789508,471.7140719,102.2,158.48,100-200,55.0%,16.35,16.86,23.6%,15.0%,10-20,-36.7%
Київська область,Білоцерківський район,Рокитнянська,селищна територіальна громада,UA32020130000010013,,25.729,25.279,664.8,166307.6579,172162.6065,3.5%,35101.51028,37805.18619,20-50,7.7%,25.75071275,27.96261029,28.75,25.45,20-40,-11.5%,1.076288903,0,0,3358.88413,1.081997776,0,0,328.6196608,369.0341343,81.2,54.1,50-100,-33.3%,601.3814697,636.4285974,49.97,47.82,25-50,-4.3%,898.1902767,1024.645545,225.1,240.82,200-500,7.0%,14.80,18.63,15.7%,15.0%,10-20,-4.5%
Чернігівська область,Ніжинський район,Ніжинська,міська територіальна громада,UA74040250000063494,,68.852,67.806,130.3,503409.7844,440385.2346,-12.5%,101551.9814,110804.4188,більше 100,9.1%,25.91542622,34.3311969,36.37,34.39,20-40,-5.4%,0.814980448,0,14731.5,2543.392285,0.884533529,0,2868,352.8061178,417.4042397,90.5,78.2,50-100,-13.6%,1217.149374,1360.716567,286.71,294.88,більше 200,2.9%,564.7680753,726.2524442,185.1,219.51,200-500,18.6%,12.41,15.47,17.4%,15.0%,10-20,-13.9%
Сумська область,Шосткинський район,Шосткинська,міська територіальна громада,UA59100170000093676,,93.545,92.252,1255.8,478815.9634,393476.9007,-17.8%,86664.5056,99185.53061,50-100,14.4%,15.76531532,23.16193425,24.22,21.96,20-40,-9.3%,0.721467087,0,41885.5,2251.555639,0.70121291,0,49981.6,219.3909956,258.1686003,55.9,48.0,25-50,-14.1%,311.2253234,340.5218477,21.54,14.51,менше 25,-32.6%,447.8983439,589.0796677,136.5,163.93,100-200,20.1%,14.38,13.71,18.0%,15.1%,10-20,-16.2%
Дніпропетровська область,Кам'янський район,Верхівцівська,міська територіальна громада,UA12040030000066040,,12.053,11.953,151.2,56360.93127,55208.88193,-2.0%,12359.55353,14460.27637,5-20,17.0%,12.84178776,14.62681324,12.36,20.81,20-40,68.3%,0.884988362,0,455.4,2761.873097,0.82442722,0,2471.4,71.14897877,81.13790076,17.8,13.6,менше 25,-23.5%,185.647096,196.2554257,28.51,113.04,100-200,296.5%,306.8130686,337.4324585,61.3,79.05,менше 100,29.0%,11.45,16.24,17.2%,15.1%,10-20,-12.6%
Черкаська область,Уманський район,Христинівська,міська територіальна громада,UA71060230000095772,,32.705,32.241,607.4,153590.8613,176669.3132,15.0%,36793.62851,39010.31213,20-50,6.0%,33.40749959,32.07308746,34.31,32.36,20-40,-5.7%,0.899217188,0,64.3,2806.27844,0.86782025,0,2827.8,212.2050195,267.0572811,52.9,45.2,25-50,-14.6%,626.6049173,658.8578363,29.59,27.57,25-50,-6.8%,822.7428519,936.9260547,235.6,243.00,200-500,3.1%,17.37,11.94,14.8%,15.1%,10-20,2.3%
Харківська область,Харківський район,Пісочинська,селищна територіальна громада,UA63120210000075842,,32.67,32.687,78.9,281223.6976,231265.6284,-17.8%,48699.48101,45460.21539,20-50,-6.7%,31.19141798,42.0594432,43.16,44.71,більше 40,3.6%,0.500246536,0,33719.8,1561.170189,0.505128328,0,36272.5,964.1773471,1202.581364,254.2,189.0,100-200,-25.6%,1217.589325,1185.542155,256.70,184.53,100-200,-28.1%,1263.608646,1528.288435,335.0,397.69,200-500,18.7%,8.03,8.88,9.7%,15.2%,10-20,56.3%
Дніпропетровська область,Павлоградський район,Тернівська,міська територіальна громада,UA12120090000031622,,27.65,27.32,14.3,217848.3605,180275.0427,-17.2%,37621.42533,57225.71637,50-100,52.1%,8.825793223,11.85355327,13.95,9.98,менше 10,-28.5%,1.439022388,15506.9,0,4490.90337,1.430806021,16308.3,0,172.1279961,194.362383,49.8,49.6,25-50,-0.6%,352.4277467,361.6957106,8.47,8.04,менше 25,-5.1%,247.4517259,301.0460608,77.6,81.42,менше 100,5.0%,16.28,18.53,23.2%,15.2%,10-20,-34.6%
Хмельницька область,Хмельницький район,Старокостянтинівська,міська територіальна громада,UA68040390000011141,,52.088,51.57,795.1,431286.6241,406042.7148,-5.9%,80894.70025,109911.4075,більше 100,35.9%,35.79472487,40.3629591,31.62,34.19,20-40,8.1%,1.079506476,0,0,3368.925536,1.07322277,0,0,314.7380972,390.6496577,79.0,64.1,50-100,-18.8%,2011.141502,2132.545584,206.06,391.25,більше 200,89.9%,859.6302283,906.4715933,202.4,252.52,200-500,24.7%,18.90,17.02,23.1%,15.2%,10-20,-34.4%
Івано-Франківська область,Коломийський район,Снятинська,міська територіальна громада,UA26080230000035462,,41.376,40.954,366.1,118750.471,138063.2918,16.3%,30634.48204,31902.08738,20-50,4.1%,30.09251138,30.81431988,31.45,26.79,20-40,-14.8%,0.488726852,0,42528.1,1525.219542,0.477253359,0,47030.3,247.6916505,292.3554935,66.1,49.0,25-50,-25.8%,269.6426595,337.3606295,35.90,24.56,менше 25,-31.6%,526.643082,622.4567841,155.4,154.48,100-200,-0.6%,29.15,16.68,15.3%,15.2%,10-20,-0.9%
Донецька область,Покровський район,Покровська,міська територіальна громада,UA14160210000011148,,83.314,82.388,515.5,915415.5466,813407.964,-11.1%,186322.4119,196605.8196,більше 100,5.5%,11.24082156,14.28667396,14.16,13.82,10-20,-2.4%,1.692098171,95159.1,0,5280.702678,1.730309728,107257.7,0,323.8539202,331.2878299,93.4,59.4,50-100,-36.5%,358.0413145,396.5564774,53.70,51.33,50-100,-4.4%,587.606183,696.7791159,202.1,223.53,200-500,10.6%,9.48,11.36,9.3%,15.3%,10-20,63.8%
Харківська область,Ізюмський район,Балаклійська,міська територіальна громада,UA63040010000010092,,46.142,45.575,1295.8,296727.1837,340780.2455,14.8%,68116.15476,66375.06139,50-100,-2.6%,37.64203345,32.37262467,40.04,35.79,20-40,-10.6%,0.738293739,0,19488.1,2304.068281,0.801311291,0,12814.5,227.1342137,251.0666922,59.6,41.2,25-50,-30.9%,1389.186468,1274.830156,184.01,137.83,100-200,-25.1%,833.5133043,914.3018045,242.3,271.15,200-500,11.9%,11.48,12.41,13.6%,15.3%,10-20,13.0%
Київська область,Фастівський район,Фастівська,міська територіальна громада,UA32140150000040954,,63.449,62.72,336.2,441080.8995,395448.8773,-10.3%,85200.88865,96780.78903,50-100,13.6%,23.8348322,32.27280817,34.4,32.43,20-40,-5.7%,0.994344569,0,0,3103.152121,0.940013414,0,0,303.9161663,334.9371487,74.1,55.0,50-100,-25.7%,637.9222024,754.9646868,108.28,73.10,50-100,-32.5%,835.3558284,1053.862517,250.6,315.75,200-500,26.0%,13.97,13.31,17.1%,15.3%,10-20,-10.6%
Полтавська область,Полтавський район,Мартинівська,сільська територіальна громада,UA53080210000072644,,4.656,4.61,253.4,33645.64704,112802.6021,235.3%,14723.83118,22901.51829,20-50,55.5%,41.57957142,14.00002403,23,19.21,10-20,-16.5%,0.77803188,0,1457.1,2428.083135,0.801739833,0,1244.6,35.27513062,34.65363111,7.7,10.2,менше 25,33.0%,1546.486683,1959.479567,15.85,22.43,менше 25,41.5%,1342.684184,1374.062159,378.2,409.22,200-500,8.2%,23.15,10.53,18.2%,15.4%,10-20,-15.7%
Донецька область,Покровський район,Мирноградська,міська територіальна громада,UA14160150000038750,,49.471,48.894,66.7,351108.0044,268137.5831,-23.6%,57612.95291,63661.31875,50-100,10.5%,8.716013572,12.41261262,14.06,13.53,10-20,-3.8%,0.879031594,0,3459.9,2743.283205,0.8559244,0,7828.9,136.8882704,219.5924161,53.8,49.7,25-50,-7.6%,105.2877765,116.7060257,7.58,6.24,менше 25,-17.8%,324.7665303,348.6287984,122.1,135.62,100-200,11.1%,13.31,15.37,17.0%,15.4%,10-20,-9.3%
Рівненська область,Сарненський район,Клесівська,селищна територіальна громада,UA56080090000098391,,10.514,10.493,338.6,89709.26232,68123.31409,-24.1%,14237.33671,20929.30699,20-50,47.0%,13.30874218,26.70478219,26.62,25.08,20-40,-5.8%,0.931059151,0,0,2905.650888,0.965515892,0,0,158.459888,168.9980501,41.5,22.6,менше 25,-45.5%,351.8707024,419.7486499,29.63,27.61,25-50,-6.8%,685.2695358,1222.913269,240.0,420.90,200-500,75.4%,13.26,18.75,18.6%,15.5%,10-20,-16.9%
