Область,Район,Назва,"Категорія (міська, сільська, селищна)",В якому році остаточно сформована?,Кількість населених пунктів,Площа,Населення (2021)
Житомирська область,Новоград-Волинський район,Городницька територіальна громада,селищна,2020,13,479.9,8214
Житомирська область,Новоград-Волинський район,Довбиська територіальна громада,селищна,2020,16,225.3,8877
Житомирська область,Новоград-Волинський район,Дубрівська територіальна громада,сільська,2020,12,173,3747
Житомирська область,Новоград-Волинський район,Новоград-Волинська територіальна громада,міська,2020,15,249,61603
Житомирська область,Новоград-Волинський район,Піщівська територіальна громада,сільська,2020,11,192.7,3867
Житомирська область,Новоград-Волинський район,Стриївська територіальна громада,сільська,2020,9,206.8,4969
Житомирська область,Новоград-Волинський район,Чижівська територіальна громада,сільська,2020,27,437.1,6879
Житомирська область,Новоград-Волинський район,Ярунська територіальна громада,сільська,2020,14,256.2,7905
Закарпатська область,Берегівський район,Батівська територіальна громада,селищна,2020,9,117,12077
Закарпатська область,Берегівський район,Берегівська територіальна громада,міська,2020,18,255.6,44128
Закарпатська область,Берегівський район,Великоберезька територіальна громада,сільська,2020,5,126.5,6185
Закарпатська область,Берегівський район,Великобийганська територіальна громада,сільська,2020,7,97.4,7585
Закарпатська область,Берегівський район,Вилоцька територіальна громада,селищна,2020,11,137.4,14775
Закарпатська область,Берегівський район,Виноградівська територіальна громада,міська,2020,14,248.7,63371
Закарпатська область,Берегівський район,Кам'янська територіальна громада,сільська,2020,8,71.6,9412
Закарпатська область,Берегівський район,Королівська територіальна громада,селищна,2020,9,116.3,22839
Закарпатська область,Берегівський район,Косоньська територіальна громада,сільська,2020,8,97.1,7711
Закарпатська область,Берегівський район,Пийтерфолвівська територіальна громада,сільська,2020,16,192.6,19636
Закарпатська область,Мукачівський район,Івановецька територіальна громада,сільська,2020,13,95.2,9282
Закарпатська область,Мукачівський район,Великолучківська територіальна громада,сільська,2020,17,178.5,21689
Закарпатська область,Мукачівський район,Верхньокоропецька територіальна громада,сільська,2020,12,82.3,7251
Закарпатська область,Мукачівський район,Воловецька територіальна громада,селищна,2020,4,181.7,8885
Закарпатська область,Мукачівський район,Горондівська територіальна громада,сільська,2020,3,77.2,9306
Закарпатська область,Мукачівський район,Жденіївська територіальна громада,селищна,2020,11,204.8,4699
Закарпатська область,Мукачівський район,Кольчинська територіальна громада,селищна,2020,12,137.8,9617
Закарпатська область,Мукачівський район,Мукачівська територіальна громада,міська,2020,18,266.9,110483
Закарпатська область,Мукачівський район,Неліпинська територіальна громада,сільська,2020,4,127,5279
Закарпатська область,Мукачівський район,Нижньоворітська територіальна громада,сільська,2020,11,156.5,9917
Закарпатська область,Мукачівський район,Полянська територіальна громада,сільська,2020,13,232.1,13792
Закарпатська область,Мукачівський район,Свалявська територіальна громада,міська,2020,10,147.2,27577
Закарпатська область,Мукачівський район,Чинадіївська територіальна громада,селищна,2020,14,169.3,14839
Закарпатська область,Рахівський район,Богданська територіальна громада,сільська,2020,6,488,10558
Закарпатська область,Рахівський район,Великобичківська територіальна громада,селищна,2020,9,574.6,29526
Закарпатська область,Рахівський район,Рахівська територіальна громада,міська,2020,4,252.5,23601
Закарпатська область,Рахівський район,Ясінянська територіальна громада,селищна,2020,7,528.6,18712
Закарпатська область,Тячівський район,Бедевлянська територіальна громада,сільська,2020,5,30.6,6538
Закарпатська область,Тячівський район,Буштинська територіальна громада,селищна,2020,9,142.7,25813
Закарпатська область,Тячівський район,Вільховецька територіальна громада,сільська,2020,6,74.2,12428
Закарпатська область,Тячівський район,Дубівська територіальна громада,селищна,2020,5,196.3,20371
Закарпатська область,Тячівський район,Нересницька територіальна громада,сільська,2020,12,333.9,30550
Закарпатська область,Тячівський район,Солотвинська територіальна громада,селищна,2020,9,164.4,35139
Закарпатська область,Тячівський район,Тересвянська територіальна громада,селищна,2020,3,47,16675
Закарпатська область,Тячівський район,Тячівська територіальна громада,міська,2020,5,97.8,19463
Закарпатська область,Тячівський район,Углянська територіальна громада,сільська,2020,6,145.2,10646
Закарпатська область,Тячівський район,Усть-Чорнянська територіальна громада,селищна,2020,4,641.8,6909
Закарпатська область,Ужгородський район,Баранинська територіальна громада,сільська,2020,12,152.6,10778
Закарпатська область,Ужгородський район,Великоберезнянська територіальна громада,селищна,2020,8,110.5,9973
Закарпатська область,Ужгородський район,Великодобронська територіальна громада,сільська,2020,5,103,11543
Закарпатська область,Ужгородський район,Дубриницько-Малоберезнянська територіальна громада,сільська,2020,9,260.8,6713
Закарпатська область,Ужгородський район,Костринська територіальна громада,сільська,2020,6,211.5,5127
Закарпатська область,Ужгородський район,Оноківська територіальна громада,сільська,2020,5,117.3,6539
Закарпатська область,Ужгородський район,Перечинська територіальна громада,міська,2020,5,120.2,12497
Закарпатська область,Ужгородський район,Середнянська територіальна громада,селищна,2020,15,217.2,14390
Закарпатська область,Ужгородський район,Ставненська територіальна громада,сільська,2020,12,299.5,7002
Закарпатська область,Ужгородський район,Сюртівська територіальна громада,сільська,2020,12,145.2,9451
Закарпатська область,Ужгородський район,Тур'є-Реметівська територіальна громада,сільська,2020,17,437.3,16107
Закарпатська область,Ужгородський район,Ужгородська територіальна громада,міська,2020,1,37.7,115542
Закарпатська область,Ужгородський район,Холмківська територіальна громада,сільська,2020,10,65.5,14325
Закарпатська область,Ужгородський район,Чопська територіальна громада,міська,2020,8,84.1,15545
Закарпатська область,Хустський район,Іршавська територіальна громада,міська,2020,20,309.5,35893
Закарпатська область,Хустський район,Білківська територіальна громада,сільська,2020,6,149.2,20650
Закарпатська область,Хустський район,Вишківська територіальна громада,селищна,2020,6,179.9,16109
Закарпатська область,Хустський район,Горінчівська територіальна громада,сільська,2020,16,223.6,12785
Закарпатська область,Хустський район,Довжанська територіальна громада,сільська,2020,8,257.5,16801
Закарпатська область,Хустський район,Драгівська територіальна громада,сільська,2020,7,148.1,13821
Закарпатська область,Хустський район,Зарічанська територіальна громада,сільська,2020,4,41.6,8333
Закарпатська область,Хустський район,Керецьківська територіальна громада,сільська,2020,4,298.9,14959
Закарпатська область,Хустський район,Колочавська територіальна громада,сільська,2020,5,161.5,8757
Закарпатська область,Хустський район,Міжгірська територіальна громада,селищна,2020,22,554.1,24896
Закарпатська область,Хустський район,Пилипецька територіальна громада,сільська,2020,11,199.6,7095
Закарпатська область,Хустський район,Синевирська територіальна громада,сільська,2020,6,254.5,6376
Закарпатська область,Хустський район,Хустська територіальна громада,міська,2020,28,402.3,80858
Запорізька область,Бердянський район,Андрівська територіальна громада,сільська,2020,4,194.8,3257
Запорізька область,Бердянський район,Андріївська територіальна громада,селищна,2020,14,498.7,7001
Запорізька область,Бердянський район,Бердянська територіальна громада,міська,2020,5,252.2,112783
Запорізька область,Бердянський район,Берестівська територіальна громада,сільська,2020,11,498.7,4468
Запорізька область,Бердянський район,Коларівська територіальна громада,сільська,2020,11,418.6,5600
Запорізька область,Бердянський район,Осипенківська територіальна громада,сільська,2020,7,419.6,7365
Запорізька область,Бердянський район,Приморська територіальна громада,міська,2020,20,985.7,22797
Запорізька область,Бердянський район,Чернігівська територіальна громада,селищна,2020,41,1201.2,15847
Запорізька область,Василівський район,Благовіщенська територіальна громада,сільська,2020,7,299.7,6195
Запорізька область,Василівський район,Василівська територіальна громада,міська,2020,18,721.5,20922
Запорізька область,Василівський район,Великобілозерська територіальна громада,сільська,2020,8,470.9,7548
Запорізька область,Василівський район,Водянська територіальна громада,сільська,2020,8,365.2,11722
Запорізька область,Василівський район,Дніпрорудненська територіальна громада,міська,2020,3,47.6,18468
Запорізька область,Василівський район,Енергодарська територіальна громада,міська,2020,1,63.4,52887
Запорізька область,Василівський район,Кам'янсько-Дніпровська територіальна громада,міська,2020,3,435.9,19967
Запорізька область,Василівський район,Малобілозерська територіальна громада,сільська,2020,8,623.4,12426
Запорізька область,Василівський район,Михайлівська територіальна громада,селищна,2020,12,612.3,19280
Запорізька область,Василівський район,Роздольська територіальна громада,сільська,2020,32,418.3,6558
Запорізька область,Василівський район,Степногірська територіальна громада,селищна,2020,9,235.3,8251
Запорізька область,Запорізький район,Біленьківська територіальна громада,сільська,2020,9,357.2,9775
Запорізька область,Запорізький район,Вільнянська територіальна громада,міська,2020,16,158.4,16822
Запорізька область,Запорізький район,Долинська територіальна громада,сільська,2020,9,170.1,5696
Запорізька область,Запорізький район,Запорізька територіальна громада,міська,2020,1,311.7,722713
Запорізька область,Запорізький район,Комишуваська територіальна громада,селищна,2020,30,531,12514
Запорізька область,Запорізький район,Кушугумська територіальна громада,селищна,2020,3,216.2,17120
Запорізька область,Запорізький район,Матвіївська територіальна громада,сільська,2020,12,153.6,6872
Запорізька область,Запорізький район,Михайло-Лукашівська територіальна громада,сільська,2020,26,368,5447
Запорізька область,Запорізький район,Михайлівська територіальна громада,сільська,2020,15,164.1,6408
Запорізька область,Запорізький район,Новомиколаївська територіальна громада,селищна,2020,54,659.3,11208
Запорізька область,Запорізький район,Новоолександрівська територіальна громада,сільська,2020,7,142.8,4860
Запорізька область,Запорізький район,Павлівська територіальна громада,сільська,2020,21,169.8,4629
Запорізька область,Запорізький район,Петро-Михайлівська територіальна громада,сільська,2020,18,278.4,4908
Запорізька область,Запорізький район,Степненська територіальна громада,сільська,2020,8,94.6,5431
Запорізька область,Запорізький район,Таврійська територіальна громада,сільська,2020,3,184.1,4172
Запорізька область,Запорізький район,Тернуватська територіальна громада,селищна,2020,16,257,3573
Запорізька область,Запорізький район,Широківська територіальна громада,сільська,2020,35,477.4,13149
Запорізька область,Мелітопольський район,Веселівська територіальна громада,селищна,2020,11,567.4,13739
Запорізька область,Мелітопольський район,Кирилівська територіальна громада,селищна,2020,8,662.1,6569
Запорізька область,Мелітопольський район,Костянтинівська територіальна громада,сільська,2020,2,230.3,14431
Запорізька область,Мелітопольський район,Мелітопольська територіальна громада,міська,2020,1,49.7,150768
Запорізька область,Мелітопольський район,Мирненська територіальна громада,селищна,2020,9,196.3,5478
Запорізька область,Мелітопольський район,Новенська територіальна громада,сільська,2020,12,252,5046
Запорізька область,Мелітопольський район,Новобогданівська територіальна громада,сільська,2020,6,198.4,4987
Запорізька область,Мелітопольський район,Нововасилівська територіальна громада,селищна,2020,20,723.1,7596
Запорізька область,Мелітопольський район,Новоуспенівська територіальна громада,сільська,2020,9,296.2,3472
Запорізька область,Мелітопольський район,Олександрівська територіальна громада,сільська,2020,14,639.5,6125
Запорізька область,Мелітопольський район,Плодородненська територіальна громада,сільська,2020,12,155.8,3369
Запорізька область,Мелітопольський район,Приазовська територіальна громада,селищна,2020,18,570.7,12134
Запорізька область,Мелітопольський район,Семенівська територіальна громада,сільська,2020,21,591.9,9355
Запорізька область,Мелітопольський район,Терпіннівська територіальна громада,сільська,2020,19,367.5,9150
Запорізька область,Мелітопольський район,Чкаловська територіальна громада,сільська,2020,10,265.4,3139
Запорізька область,Мелітопольський район,Якимівська територіальна громада,селищна,2020,36,1242.2,25458
Запорізька область,Пологівський район,Більмацька територіальна громада,селищна,2020,22,641.3,11455
Запорізька область,Пологівський район,Воздвижівська територіальна громада,сільська,2020,13,246.2,2755
Запорізька область,Пологівський район,Воскресенська територіальна громада,сільська,2020,4,264.9,5362
Запорізька область,Пологівський район,Гуляйпільська територіальна громада,міська,2020,32,677.3,18937
Запорізька область,Пологівський район,Комиш-Зорянська територіальна громада,селищна,2020,10,371.1,5969
Запорізька область,Пологівський район,Малинівська територіальна громада,сільська,2020,13,377.6,3205
Запорізька область,Пологівський район,Малотокмачанська територіальна громада,сільська,2020,4,174.3,2997
Запорізька область,Пологівський район,Молочанська територіальна громада,міська,2020,23,567.4,11790
Запорізька область,Пологівський район,Оріхівська територіальна громада,міська,2020,8,342.8,18493
Запорізька область,Пологівський район,Пологівська територіальна громада,міська,2020,23,804.9,29472
Запорізька область,Пологівський район,Преображенська територіальна громада,сільська,2020,15,366,5353
Запорізька область,Пологівський район,Розівська територіальна громада,селищна,2020,28,610.5,8107
Запорізька область,Пологівський район,Смирновська територіальна громада,сільська,2020,8,324.3,3161
Запорізька область,Пологівський район,Токмацька територіальна громада,міська,2020,26,728.3,36719
Запорізька область,Пологівський район,Федорівська територіальна громада,сільська,2020,11,275,3285
Івано-Франківська область,Івано-Франківський район,Єзупільська територіальна громада,селищна,2020,5,86.2,7491
Івано-Франківська область,Івано-Франківський район,Івано-Франківська територіальна громада,міська,2020,19,263.8,287533
Івано-Франківська область,Івано-Франківський район,Богородчанська територіальна громада,селищна,2020,17,255.8,28358
Івано-Франківська область,Івано-Франківський район,Букачівська територіальна громада,селищна,2020,13,139.3,4776
Івано-Франківська область,Івано-Франківський район,Бурштинська територіальна громада,міська,2020,19,201.8,24195
Івано-Франківська область,Івано-Франківський район,Більшівцівська територіальна громада,селищна,2020,16,152.4,7673
Івано-Франківська область,Івано-Франківський район,Галицька територіальна громада,міська,2020,26,244.4,19631
Івано-Франківська область,Івано-Франківський район,Дзвиняцька територіальна громада,сільська,2020,5,80,8291
Івано-Франківська область,Івано-Франківський район,Дубовецька територіальна громада,сільська,2020,15,172.2,7311
Івано-Франківська область,Івано-Франківський район,Загвіздянська територіальна громада,сільська,2020,2,31.3,5766
Івано-Франківська область,Івано-Франківський район,Лисецька територіальна громада,селищна,2020,4,81.3,7347
Івано-Франківська область,Івано-Франківський район,Обертинська територіальна громада,селищна,2020,9,161.3,8914
Івано-Франківська область,Івано-Франківський район,Олешанська територіальна громада,сільська,2020,15,156.2,8796
Івано-Франківська область,Івано-Франківський район,Рогатинська територіальна громада,міська,2020,72,632.6,31499
Івано-Франківська область,Івано-Франківський район,Солотвинська територіальна громада,селищна,2020,14,374.6,26033
Івано-Франківська область,Івано-Франківський район,Старобогородчанська територіальна громада,сільська,2020,5,84.1,5926
Івано-Франківська область,Івано-Франківський район,Тисменицька територіальна громада,міська,2020,19,246.3,28505
Івано-Франківська область,Івано-Франківський район,Тлумацька територіальна громада,міська,2020,35,363.5,27446
Івано-Франківська область,Івано-Франківський район,Угринівська територіальна громада,сільська,2020,2,17.9,3366
Івано-Франківська область,Івано-Франківський район,Ямницька територіальна громада,сільська,2020,7,128,9273
Івано-Франківська область,Верховинський район,Білоберізька територіальна громада,сільська,2020,17,353.8,8639
Івано-Франківська область,Верховинський район,Верховинська територіальна громада,селищна,2020,20,407.2,19845
Івано-Франківська область,Верховинський район,Зеленська територіальна громада,сільська,2020,6,487.3,1915
Івано-Франківська область,Калуський район,Болехівська територіальна громада,міська,2020,11,287,19666
Івано-Франківська область,Калуський район,Брошнів-Осадська територіальна громада,селищна,2020,5,88.5,11160
Івано-Франківська область,Калуський район,Верхнянська територіальна громада,сільська,2020,12,139.9,10203
Івано-Франківська область,Калуський район,Вигодська територіальна громада,селищна,2020,17,797.6,18215
Івано-Франківська область,Калуський район,Витвицька територіальна громада,сільська,2020,9,154.4,5748
Івано-Франківська область,Калуський район,Войнилівська територіальна громада,селищна,2020,16,163.4,10375
Івано-Франківська область,Калуський район,Долинська територіальна громада,міська,2020,22,351.6,48644
Івано-Франківська область,Калуський район,Дубівська територіальна громада,сільська,2020,11,91.9,6958
Івано-Франківська область,Калуський район,Калуська територіальна громада,міська,2020,17,265.5,88154
Івано-Франківська область,Калуський район,Новицька територіальна громада,сільська,2020,10,140.9,13937
Івано-Франківська область,Калуський район,Перегінська територіальна громада,селищна,2020,16,668.6,23795
Івано-Франківська область,Калуський район,Рожнятівська територіальна громада,селищна,2020,10,179.1,20162
Івано-Франківська область,Калуський район,Спаська територіальна громада,сільська,2020,6,234.3,5807
Івано-Франківська область,Коломийський район,Гвіздецька територіальна громада,селищна,2020,8,65.7,7126
Івано-Франківська область,Коломийський район,Городенківська територіальна громада,міська,2020,40,615.4,44191
Івано-Франківська область,Коломийський район,Заболотівська територіальна громада,селищна,2020,20,213.6,19752
Івано-Франківська область,Коломийський район,Коломийська територіальна громада,міська,2020,11,182.5,74497
Івано-Франківська область,Коломийський район,Коршівська територіальна громада,сільська,2020,8,131,8273
Івано-Франківська область,Коломийський район,Матеївецька територіальна громада,сільська,2020,17,104.1,8022
Івано-Франківська область,Коломийський район,Нижньовербізька територіальна громада,сільська,2020,6,97.8,13182
Івано-Франківська область,Коломийський район,Отинійська територіальна громада,селищна,2020,19,202.3,20098
Івано-Франківська область,Коломийський район,П'ядицька територіальна громада,сільська,2020,9,126.2,10944
Івано-Франківська область,Коломийський район,Печеніжинська територіальна громада,селищна,2020,9,183.9,17005
Івано-Франківська область,Коломийський район,Підгайчиківська територіальна громада,сільська,2020,6,58.3,4928
Івано-Франківська область,Коломийський район,Снятинська територіальна громада,міська,2020,27,366.1,40954
Івано-Франківська область,Коломийський район,Чернелицька територіальна громада,селищна,2020,10,129.8,6540
Івано-Франківська область,Косівський район,Космацька територіальна громада,сільська,2020,3,114,8125
Івано-Франківська область,Косівський район,Косівська територіальна громада,міська,2020,15,337.3,32600
Івано-Франківська область,Косівський район,Кутська територіальна громада,селищна,2020,7,113.5,15917
Івано-Франківська область,Косівський район,Рожнівська територіальна громада,сільська,2020,4,105.9,11994
Івано-Франківська область,Косівський район,Яблунівська територіальна громада,селищна,2020,11,206.5,15801
Івано-Франківська область,Надвірнянський район,Ворохтянська територіальна громада,селищна,2020,2,249.7,6003
Івано-Франківська область,Надвірнянський район,Делятинська територіальна громада,селищна,2020,5,206.9,21312
Івано-Франківська область,Надвірнянський район,Ланчинська територіальна громада,селищна,2020,5,84.5,11092
Івано-Франківська область,Надвірнянський район,Надвірнянська територіальна громада,міська,2020,13,190.8,43065
Івано-Франківська область,Надвірнянський район,Пасічнянська територіальна громада,сільська,2020,11,420,20848
Івано-Франківська область,Надвірнянський район,Переріслянська територіальна громада,сільська,2020,5,96.5,9185
Івано-Франківська область,Надвірнянський район,Поляницька територіальна громада,сільська,2020,7,342.9,4760
Івано-Франківська область,Надвірнянський район,Яремчанська територіальна громада,міська,2020,2,270.8,13674
Київська область,Бориспільський район,Бориспільська територіальна громада,міська,2020,19,527.3,80765
Київська область,Бориспільський район,Вороньківська територіальна громада,сільська,2020,10,667.7,13806
Київська область,Бориспільський район,Гірська територіальна громада,сільська,2020,4,60.9,6179
Київська область,Бориспільський район,Дівичківська територіальна громада,сільська,2020,7,262.6,4367
Київська область,Бориспільський район,Золочівська територіальна громада,сільська,2020,3,148.4,5851
Київська область,Бориспільський район,Переяславська територіальна громада,міська,2020,13,260.9,31947
Київська область,Бориспільський район,Пристолична територіальна громада,сільська,2020,8,104.3,10994
Київська область,Бориспільський район,Студениківська територіальна громада,сільська,2020,11,324.8,6964
Київська область,Бориспільський район,Ташанська територіальна громада,сільська,2020,16,335.3,5308
Київська область,Бориспільський район,Циблівська територіальна громада,сільська,2020,7,389.4,5938
Київська область,Бориспільський район,Яготинська територіальна громада,міська,2020,42,791.6,31154
Київська область,Броварський район,Баришівська територіальна громада,селищна,2020,28,695.4,26999
Київська область,Броварський район,Березанська територіальна громада,міська,2020,10,210.2,21921
Київська область,Броварський район,Броварська територіальна громада,міська,2020,4,125.2,119573
Київська область,Броварський район,Великодимерська територіальна громада,селищна,2020,23,530.3,30237
Київська область,Броварський район,Зазимська територіальна громада,сільська,2020,7,255.8,9190
Київська область,Броварський район,Згурівська територіальна громада,селищна,2020,41,760.3,15227
Київська область,Броварський район,Калинівська територіальна громада,селищна,2020,6,65.8,8468
Київська область,Броварський район,Калитянська територіальна громада,селищна,2020,6,245.2,10565
Київська область,Бучанський район,Ірпінська територіальна громада,міська,2020,5,117.2,69962
Київська область,Бучанський район,Бородянська територіальна громада,селищна,2020,32,512.7,25332
Київська область,Бучанський район,Борщагівська територіальна громада,сільська,2020,3,38.7,21894
Київська область,Бучанський район,Бучанська територіальна громада,міська,2020,14,260.8,57163
Київська область,Бучанський район,Білогородська територіальна громада,сільська,2020,10,151.1,25392
Київська область,Бучанський район,Вишнева територіальна громада,міська,2020,2,17.6,48357
Київська область,Бучанський район,Гостомельська територіальна громада,селищна,2020,4,66.5,28649
Київська область,Бучанський район,Дмитрівська територіальна громада,сільська,2020,14,138.8,17944
Київська область,Бучанський район,Коцюбинська територіальна громада,селищна,2020,1,2.4,17249
Київська область,Бучанський район,Макарівська територіальна громада,селищна,2020,49,1012.3,27352
Київська область,Бучанський район,Немішаївська територіальна громада,селищна,2020,4,80,15184
Київська область,Бучанський район,Пісківська територіальна громада,селищна,2020,3,157.4,7904
Київська область,Білоцерківський район,Білоцерківська територіальна громада,міська,2020,17,394.4,218981
Київська область,Білоцерківський район,Володарська територіальна громада,селищна,2020,34,619.2,15670
Київська область,Білоцерківський район,Гребінківська територіальна громада,селищна,2020,12,260.2,13565
Київська область,Білоцерківський район,Ковалівська територіальна громада,сільська,2020,9,231.6,6566
Київська область,Білоцерківський район,Маловільшанська територіальна громада,сільська,2020,21,362.9,10636
Київська область,Білоцерківський район,Медвинська територіальна громада,сільська,2020,12,231.4,5511
Київська область,Білоцерківський район,Рокитнянська територіальна громада,селищна,2020,23,664.8,25279
Київська область,Білоцерківський район,Сквирська територіальна громада,міська,2020,45,873,31695
Київська область,Білоцерківський район,Ставищенська територіальна громада,селищна,2020,30,673.2,20599
Київська область,Білоцерківський район,Таращанська територіальна громада,міська,2020,35,757.3,26010
Київська область,Білоцерківський район,Тетіївська територіальна громада,міська,2020,33,756.6,30629
Київська область,Білоцерківський район,Узинська територіальна громада,міська,2020,20,407.9,20245
Київська область,Білоцерківський район,Фурсівська територіальна громада,сільська,2020,11,277.8,10729
Київська область,Вишгородський район,Іванківська територіальна громада,селищна,2020,81,1779.6,28798
Київська область,Вишгородський район,Вишгородська територіальна громада,міська,2020,3,93.7,33276
Київська область,Вишгородський район,Димерська територіальна громада,селищна,2020,34,956,21042
Київська область,Вишгородський район,Петрівська територіальна громада,сільська,2020,4,192.3,12001
Київська область,Вишгородський район,Поліська територіальна громада,селищна,2020,30,563.8,5391
Київська область,Вишгородський район,Пірнівська територіальна громада,сільська,2020,10,727.1,6764
Київська область,Вишгородський район,Славутицька територіальна громада,міська,2020,1,20.5,24685
Київська область,Обухівський район,Богуславська територіальна громада,міська,2020,26,492.6,25821
Київська область,Обухівський район,Васильківська територіальна громада,міська,2020,20,356.5,45406
Київська область,Обухівський район,Кагарлицька територіальна громада,міська,2020,36,671.4,26849
