"","full_name","edebo","ouo_validated","short_name","status","type","property_type","koatuu","oblast","settlement","address","main_institution","managing_body","phone","fax","mail","site","director","is_core","is_rural","is_mountain","is_internat","licensed_volume","settlement_name","settlement_code","hromada_name","hromada_code","raion_name","raion_code","oblast_name","oblast_code","match_status_koatuu"
"1373","Запорізький навчально-виховний комплекс №67 Запорізької міської ради Запорізької області",136039,"так","Запорізький НВК №67","працює","навчально-виховний комплекс (об'єднання)","Комунальна","2310136600","Запорізька область","Запоріжжя, Запорізька область","вулиця Радіаторна, 26",NA,"Територіальний відділ освіти, молоді та спорту Заводського району управління освіти і науки департаменту освіти і науки, молоді та спорту Запорізької міської ради","(061)2397350, (061)2397348",NA,"znvk67.zp@gmail.com","http://www.znvk67.zp.ua","Директор Малиш Олена Євгенівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1374","Запорізький навчально-виховний комплекс ""Запорізька Січ"" військово-спортивного профілю Запорізької міської ради Запорізької області",135436,"так","ЗНВК ""Запорізька Січ""","працює","навчально-виховний комплекс (об'єднання)","Комунальна","2310137200","Запорізька область","Запоріжжя, Запорізька область","вулиця Січі, 3",NA,"Територіальний відділ освіти Вознесенівського району департаменту освіти і науки Запорізької міської ради","(061)2268543, (061)2268544",NA,"mzk.zsich1@gmail.com","http://www.zaporizka-sich.at.ua","Директор Ганжа Лариса Олександрівна","ні","ні","ні","ні",453,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1375","Запорізький навчально-виховний комплекс ""Освіта"" Запорізької міської ради Запорізької області",137951,"так","ЗНВК ""Освіта""","реорганізовано","навчально-виховний комплекс (об'єднання)","Комунальна","2310137500","Запорізька область","Запоріжжя, Запорізька область","вулиця Пархоменка, 19",NA,"Територіальний відділ освіти Шевченківського району департаменту освіти і науки Запорізької міської ради","(061)286-24-84",NA,"zom5@i.ua","http://znvkosvita.ucoz.ua","Директор Шендрик Світлана Григорівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1376","Запорізький навчально-виховний оздоровчий комплекс №110 Запорізької міської ради Запорізької області",137017,"так","Запорізький НВОК № 110","працює","навчально-виховний комплекс (об'єднання)","Комунальна","2310136700","Запорізька область","Запоріжжя, Запорізька область","вулиця Стешенка, 19",NA,"Територіальний відділ освіти Комунарського району департаменту освіти і науки Запорізької міської ради","(061)289-78-15",NA,"sh110@ukr.net","http://school110.zp.ua/","Директор Демченко Аркадій Григорович","ні","ні","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1377","Запорізький приватний навчально-виховний комплекс І-ІІІ ступенів ""РЕАЛ"" Запорізької області",142570,"так","ЗПНВК ""РЕАЛ""","працює","школа","Приватна","2310136300","Запорізька область","Запоріжжя, Запорізька область","вулиця Гоголя, 155",NA,"Територіальний відділ освіти Олександрівського району департаменту освіти і науки Запорізької міської ради","(061)7876267",NA,"realschool2@gmail.com","http://real-school.zp.ua","Директор Дедюк Людмила Миколаївна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1378","Запорізький технічний ліцей Запорізької міської ради Запорізької області",134672,"так","Запорізький технічний ліцей ЗМР ЗО","працює","ліцей","Комунальна","2310136300","Запорізька область","Запоріжжя, Запорізька область","вулиця Залізнична, 11",NA,"Територіальний відділ освіти Олександрівського району департаменту освіти і науки Запорізької міської ради","(061)720-33-35, (061)720-22-23",NA,"z_tex_litchei@ukr.net","http://www.ztl.zp.ua","Директор Баглер Ігор Олегович","ні","ні","ні","ні",179,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1379","комунальний заклад ""Запорізька загальноосвітня санаторна школа-інтернат №7 І-ІІ ступенів"" Запорізької обласної ради",137510,"так","Запорізька ЗОСШІ №7","працює","санаторна школа-інтернат","Комунальна","2310136900","Запорізька область","Запоріжжя, Запорізька область","вулиця Ленська, 1А",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)286-97-58",NA,"internat7zp@ukr.net","http://internat7zp.at.ua","Тлєуш Віктор Махмутович","ні","ні","ні","ні",420,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1380","комунальний заклад ""Запорізька спеціалізована школа-інтернат ІІ-ІІІ ступенів ""Козацький ліцей"" Запорізької обласної ради",135207,"так","Запорізька школа-інтернат ""Козацький ліцей""","працює","спеціалізована школа-інтернат","Комунальна","2310136900","Запорізька область","Запоріжжя, Запорізька область","вулиця Щаслива, 2",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(0612)52-62-83",NA,"zp.inter4@ukr.net","http://inter4.zp.ua/","Губіна Оксана Олександрівна","ні","ні","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1381","комунальний заклад ""Запорізька спеціалізована школа-інтернат ІІ-ІІІ ступенів ""Січовий колегіум"" Запорізької обласної ради",137520,"так","Запорізька школа-інтернат ""Січовий колегіум""","працює","спеціалізована школа-інтернат","Комунальна","2310137300","Запорізька область","Запоріжжя, Запорізька область","проспект Ювілейний, 19",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)2862080",NA,"sichoviycolegium@gmail.com","http://zski.com.ua","Єршова Валентина Омелянівна","ні","ні","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1382","Комунальний заклад ""Запорізька спеціальна загальноосвітня школа-інтернат №1"" Запорізької обласної ради",137523,"так","Запорізька школа-інтернат №1","працює","спеціальна школа-інтернат","Комунальна","2310136900","Запорізька область","Запоріжжя, Запорізька область","вулиця Котельникова, 16",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)286-96-15",NA,"internat1zp@ukr.net","http://www.internat1.zp.ua","Максимов Володимир Степанович","ні","ні","ні","ні",124,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1383","комунальний заклад ""Запорізька спеціальна загальноосвітня школа-інтернат №2"" Запорізької обласної ради",136998,"так","КЗ ""ЗСЗШ-І № 2"" ЗОР","працює","спеціальна школа-інтернат","Комунальна","2310137500","Запорізька область","Запоріжжя, Запорізька область","вулиця І. Сікорського, 267",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)239-70-50, (061)239-70-51, (061)2397055",NA,"zshi@ukr.net","http://zshi2.org.ua/","Нечипоренко Костянтин Сергійович","ні","ні","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1384","комунальний заклад ""Запорізька спеціальна загальноосвітня школа-інтернат ""Джерело"" Запорізької обласної ради",136715,"так","Запорізька школа-інтернат ""Джерело""","працює","спеціальна школа-інтернат","Комунальна","2310137500","Запорізька область","Запоріжжя, Запорізька область","вулиця Червонополянська, 2",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)707-55-15",NA,"zsdjerelo@ukr.net","http://dzherelo.zp.sch.in.ua/","Нішенко Олександр Володимирович","ні","ні","ні","так",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1385","Комунальний заклад ""Запорізька спеціальна загальноосвітня школа-інтернат ""Оберіг"" Запорізької обласної ради",137226,"так","Запорізька школа-інтернат ""Оберіг""","працює","спеціальна школа-інтернат","Комунальна","2310136600","Запорізька область","Запоріжжя, Запорізька область","вулиця Олександра Невського, 87-А",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)286-25-85",NA,"oberig9@ukr.net","http://www.oberig.zp.ua","Кочкіна Ірина Іванівна","ні","ні","ні","ні",253,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1386","Комунальний заклад ""Запорізька спеціальна загальноосвітня школа-інтернат ""Орієнтир"" Запорізької обласної ради",137203,"так","КЗ ""ЗСЗШІ ""Орієнтир"" ЗОР","працює","спеціальна школа-інтернат","Комунальна","2310137200","Запорізька область","Запоріжжя, Запорізька область","вулиця Кронштадська, 17",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)2240535, (061)2240534, (061)2240533",NA,"Internat_Orientir@i.ua","orientyr.org.ua","Тихомирова Ганна Володимирівна","ні","ні","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1387","комунальний заклад ""Запорізька спеціальна загальноосвітня школа-інтернат ""Світанок"" Запорізької обласної ради",137567,"так","Запорізька школа-інтернат ""Світанок""","працює","спеціальна школа-інтернат","Комунальна","2310136600","Запорізька область","Запоріжжя, Запорізька область","вулиця Перспективна, 8",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)7077028",NA,"int.svitanok@i.ua",NA,"Шарікова Катерина Павлівна","ні","ні","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1388","комунальний заклад ""Запорізький обласний ліцей-інтернат з посиленою військово-фізичною підготовкою ""Захисник"" Запорізької обласної ради",137425,"так","КЗ ЗОЛ ""Захисник"" ЗОР","працює","ліцей-інтернат","Комунальна","2310137500","Запорізька область","Запоріжжя, Запорізька область","вулиця Військбуд, 570",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)227-00-57, (061)226-20-04, (061)226-23-52",NA,"zahisnik2000@i.ua","www.zahisnik.zp.ua","Кулька Руслан Миколайович","ні","ні","ні","так",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1389","комунальний заклад ""Запорізький обласний спортивний ліцей"" Запорізької обласної ради",146714,"так","КЗ ""ЗСЗШІСП"" ЗОР","працює","школа-інтернат","Комунальна","2310137200","Запорізька область","Запоріжжя, Запорізька область","вулиця Патріотична, 7",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(0612)326650",NA,"sport@zapisp.com","http://www.zapisp.com","Білова Лариса Василівна","ні","ні","ні","так",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1390","науковий ліцей комунального закладу вищої освіти ""Хортицька національна навчально-реабілітаційна академія"" Запорізької обласної ради",137162,"так","Науковий ліцей Хортицької національної академії","працює","науковий ліцей","Комунальна","2310137200","Запорізька область","Запоріжжя, Запорізька область","вулиця Наукового містечка (о. Хортиця), 59",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(061)2832001",NA,"info@khnnra.zp.ua","http://school.khnnra.zp.ua/","Казаннікова Олена Володимирівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1391","Олександрівська гімназія Запорізької міської ради",134568,"так","Олександрівська гімназія","працює","гімназія","Комунальна","2310136300","Запорізька область","Запоріжжя, Запорізька область","вулиця Гоголя, 155",NA,"Територіальний відділ освіти Олександрівського району департаменту освіти і науки Запорізької міської ради","(061)2862833",NA,"zal.akademic@ukr.net","https://academlyceum.zp.ua","Директор Коміссаров Вадим Олексійович","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1392","Приватний заклад ""Ліцей інтелектуальної творчості ""ЕйдоС"" м. Запоріжжя""",137114,"так","ПЗ ""Ліцей інтелектуальної творчості ""ЕйдоС"" м. Запоріжжя""","працює","школа","Приватна","2310137200","Запорізька область","Запоріжжя, Запорізька область","вулиця Нижньодніпровська, 4-А",NA,"Територіальний відділ освіти Вознесенівського району департаменту освіти і науки Запорізької міської ради","(061)2396560, (050)1022212",NA,"eidos.zp.ua@gmail.com","http://www.eidos.zp.ua/","Генеральний директор Грединарова Олена Михайлівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1393","Спеціалізована школа ""Хабад Любавич"" з поглибленим вивченням івриту та англійської мови",135626,"так","Спеціалізована школа ""Хабад Любавич""","працює","спеціалізована школа","Приватна","2310136900","Запорізька область","Запоріжжя, Запорізька область","вулиця Бородінська, 9-А",NA,"Територіальний відділ освіти Дніпровського району, департаменту освіти і науки Запорізької міської ради","(061)2397101, (061)2397102",NA,"chabadzp@gmail.com","http://khabad.inf.ua/","Директор Бобакова Лариса Анатоліївна","ні","ні","ні","ні",240,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1394","Товариство з обмеженою відповідальністю ""Навчально-виховний комплекс ""Ліцей економіки та інформаційних технологій""",136724,"так","ТОВ ""НВК ""Ліцей ЕІТ""","працює","навчально-виховний комплекс (об'єднання)","Приватна","2310136900","Запорізька область","Запоріжжя, Запорізька область","вулиця Кияшка, 16-Б",NA,"Територіальний відділ освіти Дніпровського району, департаменту освіти і науки Запорізької міської ради","(061)2399008",NA,"liceum@econom.zp.ua",NA,"Директор Швець Людмила Володимирівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1395","Хортицький академічний ліцей Запорізької міської ради",134657,"так","Хортицький ліцей","працює","ліцей","Комунальна","2310137300","Запорізька область","Запоріжжя, Запорізька область","вулиця Чотирнадцятого жовтня, 15",NA,"Територіальний відділ освіти Хортицького району департаменту освіти і науки Запорізької міської ради","(061)2260637",NA,"akademlitseyhort2020@gmail.com",NA,"Директор Погорелова Наталія Вікторівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1396","Бердянський навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" №1 ""Мрія"" Бердянської міської ради Запорізької області",134408,"так","Бердянський НВК № 1 ""Мрія""","працює","навчально-виховний комплекс (об'єднання)","Комунальна","2310494001","Запорізька область","с. Нововасилівка, Бердянськ, Запорізька область","вулиця Центральна, 5 (корпус № 1)",NA,"Відділ освіти виконавчого комітету Бердянської міської ради","(06153)94240",NA,"nvk21school@gmail.com","sites.google.com/site/berdschool12","Директор Щербина Олена Станіславівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1397","Августинівська початкова школа Широківської сільської ради Запорізького району Запорізької області",135078,"так","Августинівська початкова школа","працює","початкова школа","Комунальна","2322180401","Запорізька область","с. Августинівка, Запорізький район, Запорізька область","вулиця Молодіжна, 63",NA,"Широківська сільська рада Запорізького району Запорізької області","(061)223-11-37",NA,"avguschool@gmail.com","https://cutt.ly/8cV4qFl","В.о. директора Панова Софія Вадимівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1398","Бердянський заклад загальної середньої освіти I-III ступенів №8 Бердянської міської ради Запорізької області",134697,"так","Бердянський ЗЗСО І-ІІІ ступенів №8","працює","школа","Комунальна","2320683001","Запорізька область","с. Азовське, Бердянський район, Запорізька область","вулиця Молодіжна, 92",NA,"Відділ освіти виконавчого комітету Бердянської міської ради","(06153)92540",NA,"azovzosh8@gmail.com","http://azovzosh.at.ua","Директор Лук`яненко Марія Олександрівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1399","Атманайська загальноосвітня школа І-ІІІ ступенів- заклад дошкільної освіти Кирилівської селищної ради Якимівського району Запорізької області",135923,"так","Атманайська ЗОШ I-III ст. - ЗДО КСР","працює","школа","Комунальна","2320380201","Запорізька область","с. Атманай, Якимівський район, Запорізька область","вулиця Матросова, 3-А",NA,"Відділ освіти та молоді Кирилівської селищної ради Якимівського району Запорізької області","(093)4744184",NA,"kiriknina24@gmail.com",NA,"Т.в.о. директора Кирик Ніна Костянтинівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1400","Бердянська загальноосвітня школа I-II ступенів Осипенківської сільської ради Бердянського району Запорізької області",134438,"так","Бердянська ЗОШ","реорганізовано","школа","Комунальна","2320686002","Запорізька область","с-ще Бердянське, Бердянський район, Запорізька область","вулиця Миру, 10",NA,"Виконавчий комітет Осипенківської сільської ради","(06153)96140",NA,"Berdyansk_school@meta.ua","berdyanske.at.ua","Директор Савон Олена Іванівна","ні","ні","ні","ні",360,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1401","Білоцерківський заклад загальної середньої освіти I-III ступенів Комиш-Зорянської селищної ради Запорізької області",137449,"так","Білоцерківський ЗЗСО І-ІІІ ступенів","працює","школа","Комунальна","2322780801","Запорізька область","с. Білоцерківка, Більмацький район, Запорізька область","вулиця Петра Ребра, 28",NA,"Відділ освіти виконавчого комітету Комиш-Зорянської селищної ради Більмацького району Запорізької області","(061)477-52-46",NA,"blczosh@ukr.net","http://bcschool.at.ua","Т.в.о. директора Нехайчук Ярослав Дмитрович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1402","Благовіщенський заклад загальної середньої освіти I-IIІ ступенів Комиш-Зорянської селищної ради Запорізької області",137229,"так","Благовіщенський ЗЗСО І-ІІІ ступенів","працює","школа","Комунальна","2322781801","Запорізька область","с. Благовіщенка, Більмацький район, Запорізька область","вулиця Шевченка, 117",NA,"Відділ освіти виконавчого комітету Комиш-Зорянської селищної ради Більмацького району Запорізької області","(061)4775430",NA,"blagzosh@ukr.net","http://BlagowischenkaS.ucoz.ua","Директор Брезицька Раїса Василівна","ні","так","ні","ні",320,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1403","Богданівський опорний заклад загальної середньої освіти Чернігівської селищної ради Бердянського району Запорізької області",134854,"так","Богданівський ОЗЗСО","працює","школа","Комунальна","2325580501","Запорізька область","с. Богданівка, Чернігівський район, Запорізька область","вулиця Шкільна, 4",NA,"Відділ освіти Чернігівської селищної ради Бердянського району Запорізької області","(06140)96123",NA,"bogdanivskaschool@gmail.com","http://bogdanivka-zosh.zp.sch.in.ua/","Директор Івашина Галина Миколаївна","Опорний заклад","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1404","Комунальний заклад ""Бурчацька загальноосвітня школа І-ІІІ ступенів імені Героя Радянського Союзу Є.І. Носаль"" Михайлівської селищної ради Василівського району Запорізької області",134612,"так","КЗ ""Бурчацька ЗОШ І-ІІІ ступенів""","працює","школа","Комунальна","2323381101","Запорізька область","с. Бурчак, Михайлівський район, Запорізька область","провулок Шкільний, 3",NA,"Михайлівська селищна рада Михайлівського району Запорізької області","(061)3226105, (061)3226195",NA,"djerello@i.ua","http://djerelo.ucoz.ua","Директор Нечет Вікторія Вікторівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1405","Верхньотокмацький опорний заклад загальної середньої освіти Чернігівської селищної ради Бердянського району Запорізької області",135251,"так","Верхньотокмацький ОЗЗСО","працює","школа","Комунальна","2325581201","Запорізька область","с. Верхній Токмак, Чернігівський район, Запорізька область","вулиця Центральна, 9",NA,"Відділ освіти Чернігівської селищної ради Бердянського району Запорізької області","(06140)97323",NA,"verkhnotokmatska@gmail.com","http://vtokmak-school.zp.sch.in.ua","Директор Солоха Анатолій Володимирович","Опорний заклад","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1406","Комунальний заклад ""Верхньотерсянська загальноосвітня школа I-IІI ступенів"" Воздвижівської сільської ради",134651,"так","КЗ ""Верхньотерсянська ЗОШ I-III ст "" ВСР","працює","школа","Комунальна","2321880501","Запорізька область","с. Верхня Терса, Гуляйпільський район, Запорізька область","вулиця Центральна, 68",NA,"Воздвижівська сільська рада","(050)9613853",NA,"vtersa@ukr.net","http://vtersa-school.zp.sch.in.ua","Директор Застрожніков Володимир Леонідович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1407","комунальний заклад ""Веселівська загальноосвітня школа I-II ступенів Новоуспенівської сільської ради Веселівського району Запорізької області""",134387,"так","КЗ ""Веселівська ЗОШ І - ІІ ступенів""","працює","школа","Комунальна","2321286303","Запорізька область","с. Веселе, Веселівський район, Запорізька область","вулиця Шкільна, 15",NA,"Новоуспенівська сільська рада Веселівського району Запорізької області","(06136)77-1-25",NA,"veselivskazosch@ukr.net","https://sites.google.com/view/veselivska-schkola","Директор Жилова Неля Миколаївна","ні","так","ні","ні",1,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1408","Комунальний заклад ""Високівська загальноосвітня школа I-III ступенів"" Роздольської сільської ради Михайлівського району Запорізької області",135453,"так","КЗ ""Високівська ЗОШ""","працює","школа","Комунальна","2323382201","Запорізька область","с. Високе, Михайлівський район, Запорізька область","вулиця 40 років Перемоги, 70",NA,"Роздольська сільська рада Михайлівського району Запорізької області","(061)3294119",NA,"vissscool@i.ua","http://vissscool.ucoz.ua","Директор Сафронова Тетяна Станіславівна","ні","так","ні","ні",250,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1409","Відраднівська гімназія Широківської сільської ради Запорізького району Запорізької області",134629,"так","Відраднівська гімназія","працює","гімназія","Комунальна","2322180402","Запорізька область","с-ще Відрадне, Запорізький район, Запорізька область","вулиця Перемоги, 2",NA,"Широківська сільська рада Запорізького району Запорізької області","(061)287-46-41",NA,"vidradnesh@ukr.net","http://vidradne-school.e-schools.info","Директор Носенко Людмила Борисівна","ні","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1410","Вільнянська філія комунального закладу ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області",149149,"так","Вільнянська філія КЗ ""НВК ""Основа""","працює","школа","Комунальна","2323981001","Запорізька область","с. Вільнянка, Оріхівський район, Запорізька область","вулиця Космічна, 11а",NA,"Департамент освіти і науки Запорізької обласної державної адміністрації","(0611)148-6-12",NA,NA,NA,"Дяченко Світлана Михайлівна","Філія","ні","ні","ні",35,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1411","Владівська філія Богданівського опорного закладу Чернігівської селищної ради Бердянського району Запорізької області",135131,"так","Владівська філія Богданівського ОЗЗСО","призупинено","школа","Комунальна","2325581901","Запорізька область","с. Владівка, Чернігівський район, Запорізька область","вулиця Миру, 45",NA,"Відділ освіти Чернігівської селищної ради Бердянського району Запорізької області","(06140)95530",NA,"vladivskachool@gmail.com","http://vladivka-zosh.zp.sch.in.ua","Завідувач філією Балута Наталія Григорівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1412","Комунальний заклад ""Вовчанська гімназія Якимівської селищної ради Якимівського району Запорізької області""",136462,"так","КЗ""Вовчанська гімназія""","працює","школа","Комунальна","2320381205","Запорізька область","с. Вовчанське, Якимівський район, Запорізька область","вулиця Ювілейна, 46",NA,"Відділ освіти, молоді та спорту Якимівської селищної ради Якимівського району Запорізької області","(06131)9-41-28",NA,"vol_zosh@meta.ua","http://voshe2018.at.ua","Директор Заліський Віктор Михайлович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1413","Володимирівська філія Опорного закладу загальної середньої освти Приазовський ліцей Приазовської селищної ради Запорізької області.",135647,"так","Володимирівська філія ОЗЗСО Приазовський ліцей","призупинено","школа","Комунальна","2324581801","Запорізька область","с. Володимирівка, Приазовський район, Запорізька область","вулиця Молодіжна, 46",NA,"Відділ освіти, молоді та спорту, культури і туризму Приазовської селищної ради","(06133)99-117",NA,"vnvk2013@gmail.com","http://vnvk.ucoz.ru","Завідувач філією Білак Тетяна Іванівна","Філія","ні","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1414","Комунальний заклад ""Володимирівська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області""",136460,"так","Володимирівська ЗОШ","працює","школа","Комунальна","2320380801","Запорізька область","с. Володимирівка, Якимівський район, Запорізька область","вулиця Миру, 70",NA,"Відділ освіти, молоді та спорту Якимівської селищної ради Якимівського району Запорізької області","(06131)97544",NA,"vladimirovka07@meta.ua","http://vladimirovka07.jimbo.com","Директор Євдокименко Олександр Анатолійович","ні","так","ні","ні",464,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1415","Володимирівський ліцей ""Успіх"" Широківської сільської ради Запорізького району Запорізької області",134825,"так","Володимирівський ліцей ""Успіх""","працює","ліцей","Комунальна","2322181601","Запорізька область","с. Володимирівське, Запорізький район, Запорізька область","вулиця Шкільна, 13",NA,"Широківська сільська рада Запорізького району Запорізької області","(061)2231931",NA,"uspikh.volodymyrivske@gmail.com","http://www.uspekh.ucoz.ua","Директор Кондрус Олена В'ячеславівна","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1416","Комунальний заклад ""Вячеславська загальноосвітня школа I-II ступенів"" Приморської міської ради Приморського району Запорізької області",135484,"так","КЗ ""Вячеславська ЗОШ І-ІІ ст.""","призупинено","школа","Комунальна","2324880401","Запорізька область","с. Вячеславка, Приморський район, Запорізька область","вулиця Миру, 62",NA,"Відділ освіти Приморської міської ради Приморського району Запорізької області","(066)0334410",NA,"Vyacheslavka9@gmail.com","http://vyacheslavka9.wix.com/version2","В.о. директора Попов Олексій Дмитрович","ні","так","ні","ні",360,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1417","Комунальний заклад ""Гуляйпільська загальноосвітня школа I-III ступенів"" Гуляйпільської міської ради",134397,"так","КЗ ""Гуляйпільська ЗОШ І-ІІІ ступенів"" ГМР","працює","школа","Комунальна","2321883001","Запорізька область","с. Гуляйпільське, Гуляйпільський район, Запорізька область","вулиця Лавренкова, 28",NA,"Відділ освіти, молоді та спорту Гуляйпільської міської ради","(0614)597567",NA,"knvc@i.ua","http://www.gpzosch.pp.ua/","Директор Заїченко Сергій Іванович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1418","Філія Великобілозерського навчально-виховного комплексу №1 (школа-дитячий садок) Великобілозерської сільської ради Василівського району Запорізької області Гюнівська загальноосвітня школа І-ІІ ступенів №1",138265,"так","Філія Великобілозерського НВК №1 Гюнівська ЗОШ №1","працює","школа","Комунальна","2321183501","Запорізька область","с. Гюнівка, Великобілозерський район, Запорізька область","вулиця Поштова, 1",NA,"Відділ освіти, культури, туризму, охорони культурної спадщини, молоді та спорту Великобілозерської сільської ради Великобілозерського району Запорізької області","(06156)26-1-31",NA,"gunyvskascool@meta.ua",NA,"Завідувач філією Безручко Анна Вікторівна","Філія","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1419","Комунальний заклад ""Давидівська загальноосвітня школа І - ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області""",136466,"так","Давидівська ЗОШ","працює","школа","Комунальна","2320381201","Запорізька область","с. Давидівка, Якимівський район, Запорізька область","провулок Шкільний, 1",NA,"Відділ освіти, молоді та спорту Якимівської селищної ради Якимівського району Запорізької області","(06131)9-51-47",NA,"davydivskazosh@gmail.com","http://davydivkazosh.e","Директор Заліський Віктор Михайлович","ні","так","ні","ні",320,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1420","Дівнинська загальноосвітня школа I-III ступенів Олександрівської сільської ради Приазовського району Запорізької області",134650,"так","Дівнинська ЗОШ","працює","школа","Комунальна","2324583401","Запорізька область","с. Дівнинське, Приазовський район, Запорізька область","вулиця Шкільна, 31",NA,"Відділ освіти, культури, молоді, спорту, туризму та архівної роботи Олександрівської сільської ради","(0612)396124",NA,"divnaschool@meta.ua","https://sites.google.com/view/divnaschool","Директор Шило Галина Іванівна","ні","так","ні","ні",192,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
"1421","Дніпровський ліцей Петро-Михайлівської сільської ради",134707,"так","Дніпровський ліцей","працює","ліцей","Комунальна","2321581301","Запорізька область","с. Дніпровка, Вільнянський район, Запорізька область","вулиця Паторжинського, 42-Г",NA,"Відділ освіти, культури, молоді та спорту Петро-Михайлівської сільської ради","(06143)95543",NA,"dneprovka1986@gmail.com","http://dniprovskazosh.blogspot.com/","Курченко Володимир Володимирович","ні","так","ні","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched"
